object,source_of_truth,write_roles,read_roles,notes
run_main_state,Dark Factory / Journal,"closure_writer,operator_override","Paperclip,Bridge,operators",唯一权威主状态来自 Journal 事实
attempt_state,Dark Factory / Journal,"execution_writer,finalizer,recovery_service","Paperclip,Bridge",attempt 只在执行面推进
artifact_certification,Dark Factory / Journal,"finalizer,certifier_service","Paperclip,Bridge,downstream_consumer",不得由 Bridge 自行升级为 certified
lineage_graph_projection,Dark Factory projection,lineage_projector,"Paperclip,operators,consumers",图是 projection，不是 committed truth source
execution_capability_lease,Dark Factory control plane,capability_broker,"executor_sidecar,finalizer,auditor",opaque executor 必须绑定 lease
mailbox_entries,Mailbox store,"stale_writer,adapter_receivers","finalizer,auditor",证据通道，不是终态推进源
callback_projection,Bridge / Dark Factory projection,bridge_callback_consumer,"Paperclip,operators",回调可作证据，不能单独宣告 committed
runtime_config_registry,Control plane config registry,"platform_architecture,control_plane",all_services,阈值不得硬编码
archive_hold_records,Platform storage control,"archive_service,governance","operator_surface,restorer",归档后必须可检索
consumption_waivers,Paperclip governance store,"approver_service,operator","Dark Factory,downstream_consumer",waiver 只改消费者 gate，不改上游认证态
park_records,Dark Factory / Journal,"finalizer,operator","Paperclip,Bridge,operators",park 释放资源但不得释放 truth obligation
rehydration_tokens,Dark Factory control plane,"scheduler,operator,rehydration_service","operators,finalizer",token 必须单次成功消费并记录新旧 attempt 关联
manual_gate_definitions,Governance-bound registry,"platform_architecture,governance","Paperclip,Bridge,operators",manual gate literal 与 SLA/rehydration 要求必须统一绑定
trace_context,Tracing platform,"service_mesh,app_services","operators,incident_response",必须贯穿 run/attempt/artifact/effect
